rel_x	rel_y
acquire	owns
ally	dealswith
annex	dealswith
announce	created
announce	owns
announce	participatedin
announce_launch	created
announce_release	created
appear	actedin
appoint	isaffiliatedto
arrive	diedin
await_ratification	ispoliticianof
award	haswonprize
basketball_team_base	islocatedin
bear	haschild
beat	dealswith
become_artist	created
become_capital	islocatedin
become_figure	isaffiliatedto
become_isolate	islocatedin
become_president	iscitizenof
become_president	ispoliticianof
become_prime_minister	iscitizenof
become_prime_minister	ispoliticianof
begin	created
begin_invest	owns
begin_operation	participatedin
border	hasneighbor
bring	iscitizenof
bring_family	islocatedin
build	created
build	islocatedin
buy	owns
capital	islocatedin
captain	isaffiliatedto
cede_territory	dealswith
choose	owns
city	islocatedin
claim_title	influences
commence	created
commit_open	participatedin
complete	created
compose	created
contribute	created
contributor	participatedin
country	islocatedin
country_produce	owns
criticize	iscitizenof
debut	actedin
declare_capital	islocatedin
declare_war	dealswith
defeat	dealswith
defeat	isaffiliatedto
deliver_keynote_address	isaffiliatedto
deliver_speech	isaffiliatedto
deploy_military	dealswith
develop	created
earn	haswonprize
elect_president	iscitizenof
elect_president	ispoliticianof
eliminate	dealswith
encrypt	created
endorse	isaffiliatedto
enrol	graduatedfrom
erect_throughout	islocatedin
establish	participatedin
establish	created
establish_headquarters	created
exhibit	islocatedin
explain_thing	isknownfor
face	isaffiliatedto
face	playsfor
feature	created
feature	haswonprize
feature	isaffiliatedto
finish_runnerup	haswonprize
focus	islocatedin
form	created
form_part	islocatedin
found	created
found_member	dealswith
give	created
go_record	created
go_win	haswonprize
graduate	graduatedfrom
grant_membership	dealswith
headquarter	islocatedin
help	dealswith
home	islocatedin
host	owns
host	created
hub	islocatedin
identify	isaffiliatedto
include	owns
influence	created
innovator	isknownfor
invade	dealswith
invent	created
join	participatedin
join	isaffiliatedto
join	playsfor
join	dealswith
know	participatedin
largest_centre	islocatedin
largest_city	islocatedin
largest_exporter	exports
launch	created
lay_foundation	created
lead	participatedin
leave	isaffiliatedto
literature	hasofficiallanguage
live	iscitizenof
locate	islocatedin
lose	dealswith
make	created
make_agreement	dealswith
make_alliance	influences
make_contribution	created
marry	ismarriedto
meet	influences
member	dealswith
merge	owns
move	owns
move	islocatedin
municipality	islocatedin
name	haswonprize
nominate	haswonprize
northernmost_city	islocatedin
occupy	islocatedin
occupy	dealswith
open	created
open	owns
operate	islocatedin
outside	islocatedin
overcome	dealswith
participant	participatedin
perform_medley	created
place_second	haswonprize
play	actedin
play	created
play_concert	created
present	haswonprize
produce	created
promote	isaffiliatedto
propose	ismarriedto
queen	iscitizenof
queen	isleaderof
rally	isleaderof
reach	isaffiliatedto
reach	playsfor
reach_semifinals	dealswith
rebrand	created
receive	isaffiliatedto
receive	haswonprize
receive_aid	dealswith
receive_recognition	haswonprize
receive_total	haswonprize
recipient	haswonprize
record_video	created
refer_dispute	dealswith
rejoin	participatedin
relationship	ismarriedto
release	created
release_video	created
remain_align	dealswith
remain_capital	islocatedin
remain_largest_city	islocatedin
reprise_role	created
reshape	isaffiliatedto
return	iscitizenof
revalue	hascurrency
reveal	created
romance	ismarriedto
run	isaffiliatedto
score_goal	isaffiliatedto
score_goal	playsfor
seat	islocatedin
see_growth_since	participatedin
seek_election	ispoliticianof
seek_expand	hascapital
settle	participatedin
sign	owns
sign_contract	isaffiliatedto
sign_contract	playsfor
sign_deal	created
situate_east	dealswith
sixth_largest	islocatedin
span	owns
star	actedin
start	created
start_operation	participatedin
subject	isaffiliatedto
surpass	isaffiliatedto
transfer	dealswith
transportation_hub	islocatedin
unknown_outside	ispoliticianof
unveil	created
use	hascurrency
veto	participatedin
voice	actedin
wear	isaffiliatedto
wear	playsfor
win	haswonprize
win	dealswith
win_academy_award	haswonprize
win_award	haswonprize
win_bafta_award	haswonprize
win_eight	haswonprize
win_endorsement	isaffiliatedto
win_seven	haswonprize
win_three_award	haswonprize
win_two_award	haswonprize
write	created
write	influences
receive	haswonprize
city	islocatedin
remain_largest_city	islocatedin
become_capital	islocatedin
marry	ismarriedto
defeat	dealswith
beat	dealswith
eliminate	dealswith
join	participatedin
country	islocatedin
enter	participatedin
basketball_team_base	islocatedin
unveil	created
border	hasneighbor
queen	iscitizenof
queen	isleaderof
become_president	ispoliticianof
become_prime_minister	iscitizenof
become_prime_minister	ispoliticianof
occupy	dealswith
stage	created
establish	created
invade	dealswith
lose	dealswith
overcome	dealswith
win	dealswith
acquire	owns
host	owns
announce_introduction	owns
establish	participatedin
release	created
announce	created
draw	dealswith
declare_war	dealswith
transfer	dealswith
capital	islocatedin
star	actedin
region	islocatedin
island	islocatedin
receive_aid	dealswith
become_part	islocatedin
release_video	created
remain_capital	islocatedin
consider_part	islocatedin
join_council	islocatedin
make_agreement	dealswith
present	haswonprize
join	dealswith
fall_behind	dealswith
help	dealswith
lead	participatedin
remain_align	dealswith
begin	created
embark	created
found	created
municipality	islocatedin
hub	islocatedin
declare_capital	islocatedin
ally	dealswith
win	haswonprize
cede_territory	dealswith
member	participatedin
border	dealswith
